Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-02 00:00:00+01:00,301.1000061035156,305.5,301.1000061035156,304.8999938964844,494966,0.0,0.0
2025-01-03 00:00:00+01:00,304.1000061035156,307.20001220703125,302.20001220703125,306.5,405801,0.0,0.0
2025-01-06 00:00:00+01:00,308.0,313.1000061035156,307.0,310.70001220703125,567012,0.0,0.0
2025-01-07 00:00:00+01:00,310.70001220703125,312.3999938964844,307.1000061035156,309.79998779296875,556614,0.0,0.0
2025-01-08 00:00:00+01:00,309.79998779296875,311.20001220703125,302.6000061035156,307.1000061035156,588034,0.0,0.0
2025-01-09 00:00:00+01:00,307.0,313.3999938964844,305.29998779296875,311.1000061035156,654210,0.0,0.0
2025-01-10 00:00:00+01:00,311.0,318.29998779296875,309.70001220703125,314.1000061035156,585644,0.0,0.0
2025-01-13 00:00:00+01:00,317.5,319.5,312.3999938964844,317.20001220703125,696680,0.0,0.0
2025-01-14 00:00:00+01:00,322.0,330.20001220703125,322.0,327.29998779296875,1015389,0.0,0.0
2025-01-15 00:00:00+01:00,328.3999938964844,336.5,328.20001220703125,333.79998779296875,653709,0.0,0.0
2025-01-16 00:00:00+01:00,335.20001220703125,336.79998779296875,328.6000061035156,329.6000061035156,623262,0.0,0.0
2025-01-17 00:00:00+01:00,331.3999938964844,337.1000061035156,331.1000061035156,332.0,662226,0.0,0.0
2025-01-20 00:00:00+01:00,332.0,333.5,329.6000061035156,333.29998779296875,532654,0.0,0.0
2025-01-21 00:00:00+01:00,332.70001220703125,335.8999938964844,332.0,334.29998779296875,563093,0.0,0.0
2025-01-22 00:00:00+01:00,334.0,335.1000061035156,331.70001220703125,332.0,532222,0.0,0.0
2025-01-23 00:00:00+01:00,332.5,333.70001220703125,329.3999938964844,332.0,577416,0.0,0.0
2025-01-24 00:00:00+01:00,333.3999938964844,337.3999938964844,327.1000061035156,328.6000061035156,694262,0.0,0.0
2025-01-27 00:00:00+01:00,327.0,333.79998779296875,326.3999938964844,333.29998779296875,459400,0.0,0.0
2025-01-28 00:00:00+01:00,333.29998779296875,341.20001220703125,332.20001220703125,338.5,614224,0.0,0.0
2025-01-29 00:00:00+01:00,341.70001220703125,352.70001220703125,338.8999938964844,338.8999938964844,1426970,0.0,0.0
2025-01-30 00:00:00+01:00,338.8999938964844,345.3999938964844,337.6000061035156,345.0,507952,0.0,0.0
2025-01-31 00:00:00+01:00,345.6000061035156,346.0,338.5,339.0,615784,0.0,0.0
2025-02-03 00:00:00+01:00,332.1000061035156,334.8999938964844,330.70001220703125,333.79998779296875,598336,0.0,0.0
2025-02-04 00:00:00+01:00,337.70001220703125,338.5,334.20001220703125,336.6000061035156,499796,0.0,0.0
2025-02-05 00:00:00+01:00,336.79998779296875,338.70001220703125,333.70001220703125,335.1000061035156,408384,0.0,0.0
2025-02-06 00:00:00+01:00,337.29998779296875,337.5,332.1000061035156,334.0,613854,0.0,0.0
2025-02-07 00:00:00+01:00,320.0,322.5,309.29998779296875,310.29998779296875,2420807,0.0,0.0
2025-02-10 00:00:00+01:00,310.79998779296875,313.1000061035156,306.70001220703125,312.6000061035156,1336935,0.0,0.0
2025-02-11 00:00:00+01:00,313.0,320.0,311.29998779296875,320.0,789615,0.0,0.0
2025-02-12 00:00:00+01:00,321.0,321.20001220703125,314.3999938964844,316.79998779296875,734727,0.0,0.0
